Полиця/категорія,#,Артикул,Назва,Ціна,Залишок,"Виручка,грн"
Допоміжні снасті / Підсаки,1,HH-270170-GJ,"Підсак Breeze HH-270170-GJ 70см трикут. прогум. сітка ,телескоп. посил.замок",910,2,15860
Допоміжні снасті / Підсаки,2,HY-D-370170-GJ,"Підсак Breeze 70см прогум. сітка круп ,телескоп 1,7м пятикут.",950,1,13790
Допоміжні снасті / Підсаки,3,1345,Підсак ALUMINA 50 BOYA BY,250,2,10750
Допоміжні снасті / Підсаки,4,CS-360210-JW,"Підсак Breeze CS-360210-JW 60см трикут. прогум.чорна сітка ,телескоп.  ручrа",550,1,9580
Допоміжні снасті / Підсаки,5,2027,"Підсак Суми алюм корд. комп квадрат 57-74 корд телескоп 1,90",850,1,7300
Спінінгова ловля  / Воблер,1,2105,Воблер Вуж (м),115,13,11730
Спінінгова ловля  / Воблер,2,968,Воблер BOYA BY асортимент розпродаж,60,27,10720
Спінінгова ловля  / Воблер,3,3491,Воблер  Sabaroff River 55mm 8g,125,28,9250
Спінінгова ловля  / Воблер,4,5050042,Воблер Strike Pro Chubby Crank jl-038l,325,2,8740
Спінінгова ловля  / Воблер,5,4270,Тел-спінер ручної роботи,155,14,8100
Спінінгова ловля  / Воблер,6,5050054,Воблер Strike Pro Chubby Crank jl-038l,325,6,8020
Оснащення Монтаж / Поплавки,1,2112,Поплавець EXPERT асортимент,30,115,19790
Оснащення Монтаж / Поплавки,2,3053,Поплавок #18,18,38,14832
Оснащення Монтаж / Поплавки,3,1648,Кружок  Стубла,30,49,10860
Оснащення Монтаж / Поплавки,4,2991,Поплавок Kenyu на батар.,150,2,8400
Херабуна / Підсаки,1,000149,Стул Херабуна Perfect Koi  (Herabunafishing),4500,2,27000
Херабуна / Підсаки,2,000038,Підставка для вудилищ Siechi LUX 2.4м (Herabunafishing),450,13,18000
Херабуна / Підсаки,3,000341,Стаканчики мірні набор 4 шт,140,4,8260
Зима / Балансир,1,3670,Балансир Accurat#2,85,28,13430
Зима / Балансир,2,3738,Балансир Accurat Hybirid SG 18mm 4g,102,16,10404
Зима / Балансир,3,2737,Балансир №2 карапаль classic 4гр,60,93,10168
Зима / Балансир,4,4571,"Балансир Крапаль мікрон 2,8г",57,24,9120
Зима / Балансир,5,882,"Балансир №3  ""Крапаль""",45,192,8280
"Туризм і відпочинок / Намети ,тени ,парасольки",1,SF23817,Парасолька Sams Fish,1590,1,22420
"Туризм і відпочинок / Намети ,тени ,парасольки",2,1996,Намет,3400,1,17400
"Туризм і відпочинок / Намети ,тени ,парасольки",3,4251,Парасолька Sams Fish намет,2940,2,11540
Волосінь Шнури Повіці / Повідці,1,3302,Поводок PREDATOR WOLFRAM LEADERS 25см,12,605,9480
Волосінь Шнури Повіці / Повідці,2,427,Повідець Carp Fishing Fast Sinking Braid 25lb №6 (шт.),25,46,9444
Волосінь Шнури Повіці / Повідці,3,940,Повідець Carp Fishing Fast Sinking Braid 25lb №8 (шт.),25,41,8438
Волосінь Шнури Повіці / Повідці,4,42060378,Повідець Kalipso флюрокарбон 25см 0.50мм 12кг,15,54,8158
Волосінь Шнури Повіці / Повідці,5,3437,Повідець флюрокарбон Golden Fish 0.55m 30см,12,65,7560
Волосінь Шнури Повіці / Повідці,6,3435,Повідець флюрокарбон Golden Fish 0.55m 20см,10,39,6820
Херабуна / Оснащення,1,000863,"Комплект відгружених оснасток Perfect Koi з поплавками Tz-08 розмір 6,3м",550,2,16500
Херабуна / Оснащення,2,05.65,Оснастка фірмова Premium 5.4 #2.5,100,9,13000
